ka_full,category,system_number,system_name,ka_no,statement,ro_imp,sro_imp,status
001 AK1.12,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.12,DELETED,0,0,deleted
001 AK1.13,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.13,DELETED,0,0,deleted
001 AK1.14,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.14,"(001AK1.14) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.8 / 41.10 / 45.3): Interaction of ICS control stations and the purpose, function, and modes of operation of the ICS (BW)",3.7,3.7,active
001 AK1.15,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.15,DELETED,0,0,deleted
001 AK1.16,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.16,DELETED,0,0,deleted
001 AK1.17,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.17,DELETED,0,0,deleted
001 AK1.18,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.18,DELETED,0,0,deleted
001 AK1.19,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.19,(001AK1.19) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.8 / 41.10 / 45.3): Voids coefficient,2.6,2.6,active
001 AK1.20,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.20,DELETED,0,0,deleted
001 AK1.21,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.21,DELETED,0,0,deleted
001 AK1.22,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.22,DELETED,0,0,deleted
001 AK1.23,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.23,DELETED,0,0,deleted
001 AK1.24,ape,001,(APE 1) Continuous Rod Withdrawal,AK1.24,(001AK1.24) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.8 / 41.10 / 45.3): Effect of rod motion on PZR level,3,3,active
001 AK2.01,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.01,(001AK2.01) Knowledge of the relationship between (APE 1) CONTINUOUS Rod Withdrawal and the following systems or components (CFR: 41.7 / 45.7): Rod bank step counters,3.4,3.4,active
001 AK2.02,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.02,DELETED,0,0,deleted
001 AK2.03,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.03,DELETED,0,0,deleted
001 AK2.04,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.04,DELETED,0,0,deleted
001 AK2.05,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.05,(001AK2.05) Knowledge of the relationship between (APE 1) CONTINUOUS Rod Withdrawal and the following systems or components (CFR: 41.7 / 45.7): Rod motion lights,3.3,3.3,active
001 AK2.06,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.06,(001AK2.06) Knowledge of the relationship between (APE 1) CONTINUOUS Rod Withdrawal and the following systems or components (CFR: 41.7 / 45.7): T-ave./T-ref. deviation meter,3.4,3.4,active
001 AK2.07,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.07,(001AK2.07) Knowledge of the relationship between (APE 1) CONTINUOUS Rod Withdrawal and the following systems or components (CFR: 41.7 / 45.7): Boric acid pump running lights,3,3,active
001 AK2.08,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.08,(001AK2.08) Knowledge of the relationship between (APE 1) CONTINUOUS Rod Withdrawal and the following systems or components (CFR: 41.7 / 45.7): Individual rod display lights and indications,3.5,3.5,active
001 AK2.09,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.09,(001AK2.09) Knowledge of the relationship between (APE 1) CONTINUOUS Rod Withdrawal and the following systems or components (CFR: 41.7 / 45.7): RCS,3.3,3.3,active
001 AK2.10,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.10,(001AK2.10) Knowledge of the relationship between (APE 1) CONTINUOUS Rod Withdrawal and the following systems or components (CFR: 41.7 / 45.7): PZR,3.2,3.2,active
001 AK2.11,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.11,(001AK2.11) Knowledge of the relationship between (APE 1) CONTINUOUS Rod Withdrawal and the following systems or components (CFR: 41.7 / 45.7): MT/G,3,3,active
001 AK2.12,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.12,(001AK2.12) Knowledge of the relationship between (APE 1) CONTINUOUS Rod Withdrawal and the following systems or components (CFR: 41.7 / 45.7): SDS,3,3,active
001 AK2.13,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.13,(001AK2.13) Knowledge of the relationship between (APE 1) CONTINUOUS Rod Withdrawal and the following systems or components (CFR: 41.7 / 45.7): NIS,3.8,3.8,active
001 AK2.14,ape,001,(APE 1) Continuous Rod Withdrawal,AK2.14,(001AK2.14) Knowledge of the relationship between (APE 1) CONTINUOUS Rod Withdrawal and the following systems or components (CFR: 41.7 / 45.7): CRDS,3.7,3.7,active
001 AK3.01,ape,001,(APE 1) Continuous Rod Withdrawal,AK3.01,DELETED,0,0,deleted
001 AK3.02,ape,001,(APE 1) Continuous Rod Withdrawal,AK3.02,(001AK3.02) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.5 / 41.10 / 45.6 / 45.13): TS limits on rod operability,3.8,3.8,active
001 AK3.03,ape,001,(APE 1) Continuous Rod Withdrawal,AK3.03,(001AK3.03) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.5 / 41.10 / 45.6 / 45.13): Tripping the reactor,4.3,4.3,active
001 AK3.04,ape,001,(APE 1) Continuous Rod Withdrawal,AK3.04,(001AK3.04) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 1) CONTINUOUS Rod Withdrawal (CFR: 41.5 / 41.10 / 45.6 / 45.13): Matching T-ave. and T-ref.,3.5,3.5,active
003 AA1.01,ape,003,(APE 3) Dropped Control Rod,AA1.01,DELETED,0,0,deleted
003 AA1.02,ape,003,(APE 3) Dropped Control Rod,AA1.02,DELETED,0,0,deleted
003 AA1.03,ape,003,(APE 3) Dropped Control Rod,AA1.03,DELETED,0,0,deleted
003 AA1.04,ape,003,(APE 3) Dropped Control Rod,AA1.04,DELETED,0,0,deleted
003 AA1.05,ape,003,(APE 3) Dropped Control Rod,AA1.05,DELETED,0,0,deleted
003 AA1.06,ape,003,(APE 3) Dropped Control Rod,AA1.06,DELETED,0,0,deleted
003 AA1.07,ape,003,(APE 3) Dropped Control Rod,AA1.07,DELETED,0,0,deleted
003 AA1.08,ape,003,(APE 3) Dropped Control Rod,AA1.08,(003AA1.08) Ability to operate and/or monitor the following as they apply to (APE 3) DROPPED Control Rod (CFR: 41.7 / 45.5 / 45.6): CRDS,3.7,3.7,active
003 AA1.09,ape,003,(APE 3) Dropped Control Rod,AA1.09,(003AA1.09) Ability to operate and/or monitor the following as they apply to (APE 3) DROPPED Control Rod (CFR: 41.7 / 45.5 / 45.6): NIS,3.8,3.8,active
003 AA1.10,ape,003,(APE 3) Dropped Control Rod,AA1.10,(003AA1.10) Ability to operate and/or monitor the following as they apply to (APE 3) DROPPED Control Rod (CFR: 41.7 / 45.5 / 45.6): RPI,3.8,3.8,active
003 AA1.11,ape,003,(APE 3) Dropped Control Rod,AA1.11,(003AA1.11) Ability to operate and/or monitor the following as they apply to (APE 3) DROPPED Control Rod (CFR: 41.7 / 45.5 / 45.6): CVCS,2.9,2.9,active
003 AA1.12,ape,003,(APE 3) Dropped Control Rod,AA1.12,(003AA1.12) Ability to operate and/or monitor the following as they apply to (APE 3) DROPPED Control Rod (CFR: 41.7 / 45.5 / 45.6): MT/G,3.1,3.1,active
003 AA2.01,ape,003,(APE 3) Dropped Control Rod,AA2.01,(003AA2.01) Ability to determine and/or interpret the following as they apply to (APE 3) DROPPED Control Rod (CFR: 43.5 / 45.13): RPI,3.7,4,active
003 AA2.02,ape,003,(APE 3) Dropped Control Rod,AA2.02,DELETED,0,0,deleted
003 AA2.03,ape,003,(APE 3) Dropped Control Rod,AA2.03,DELETED,0,0,deleted
003 AA2.04,ape,003,(APE 3) Dropped Control Rod,AA2.04,(003AA2.04) Ability to determine and/or interpret the following as they apply to (APE 3) DROPPED Control Rod (CFR: 43.5 / 45.13): Rod stop due to dropped rod (BW),2,3.5,active
003 AA2.05,ape,003,(APE 3) Dropped Control Rod,AA2.05,DELETED,0,0,deleted
003 AA2.06,ape,003,(APE 3) Dropped Control Rod,AA2.06,(003AA2.06) Ability to determine and/or interpret the following as they apply to (APE 3) DROPPED Control Rod (CFR: 43.5 / 45.13): Ex-core NIS,3.6,3.8,active
003 AA2.07,ape,003,(APE 3) Dropped Control Rod,AA2.07,(003AA2.07) Ability to determine and/or interpret the following as they apply to (APE 3) DROPPED Control Rod (CFR: 43.5 / 45.13): In-core NIS,3.5,3.4,active
003 AA2.08,ape,003,(APE 3) Dropped Control Rod,AA2.08,(003AA2.08) Ability to determine and/or interpret the following as they apply to (APE 3) DROPPED Control Rod (CFR: 43.5 / 45.13): ITM,2.7,3.2,active
003 AA2.09,ape,003,(APE 3) Dropped Control Rod,AA2.09,(003AA2.09) Ability to determine and/or interpret the following as they apply to (APE 3) DROPPED Control Rod (CFR: 43.5 / 45.13): Reactor power,3.8,4,active
003 AA2.10,ape,003,(APE 3) Dropped Control Rod,AA2.10,(003AA2.10) Ability to determine and/or interpret the following as they apply to (APE 3) DROPPED Control Rod (CFR: 43.5 / 45.13): RCS pressure and temperature,3.5,3.8,active
003 AK1.01,ape,003,(APE 3) Dropped Control Rod,AK1.01,(003AK1.01) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 3) DROPPED Control Rod (CFR: 41.8 / 41.10 / 45.3): Turbine load reduction,3.7,3.7,active
003 AK1.02,ape,003,(APE 3) Dropped Control Rod,AK1.02,(003AK1.02) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 3) DROPPED Control Rod (CFR: 41.8 / 41.10 / 45.3): Effects of turbine-reactor power mismatch on rod control,3.6,3.6,active
003 AK1.03,ape,003,(APE 3) Dropped Control Rod,AK1.03,DELETED,0,0,deleted
003 AK1.04,ape,003,(APE 3) Dropped Control Rod,AK1.04,(003AK1.04) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 3) DROPPED Control Rod (CFR: 41.8 / 41.10 / 45.3): Effect on power level and/or flux,4,4,active
003 AK1.05,ape,003,(APE 3) Dropped Control Rod,AK1.05,(003AK1.05) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 3) DROPPED Control Rod (CFR: 41.8 / 41.10 / 45.3): CVCS response to dropped rod,3,3,active
003 AK1.06,ape,003,(APE 3) Dropped Control Rod,AK1.06,DELETED,0,0,deleted
003 AK1.07,ape,003,(APE 3) Dropped Control Rod,AK1.07,(003AK1.07) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 3) DROPPED Control Rod (CFR: 41.8 / 41.10 / 45.3): Effect of a dropped rod on insertion limits and SDM,3.8,3.8,active
003 AK1.08,ape,003,(APE 3) Dropped Control Rod,AK1.08,DELETED,0,0,deleted
003 AK1.09,ape,003,(APE 3) Dropped Control Rod,AK1.09,DELETED,0,0,deleted
003 AK1.10,ape,003,(APE 3) Dropped Control Rod,AK1.10,DELETED,0,0,deleted
003 AK1.11,ape,003,(APE 3) Dropped Control Rod,AK1.11,DELETED,0,0,deleted
003 AK1.12,ape,003,(APE 3) Dropped Control Rod,AK1.12,DELETED,0,0,deleted
003 AK1.13,ape,003,(APE 3) Dropped Control Rod,AK1.13,(003AK1.13) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 3) DROPPED Control Rod (CFR: 41.8 / 41.10 / 45.3): ICS response (BW),3.6,3.6,active
003 AK1.14,ape,003,(APE 3) Dropped Control Rod,AK1.14,DELETED,0,0,deleted
003 AK1.15,ape,003,(APE 3) Dropped Control Rod,AK1.15,DELETED,0,0,deleted
003 AK1.16,ape,003,(APE 3) Dropped Control Rod,AK1.16,DELETED,0,0,deleted
003 AK1.17,ape,003,(APE 3) Dropped Control Rod,AK1.17,DELETED,0,0,deleted
003 AK1.18,ape,003,(APE 3) Dropped Control Rod,AK1.18,DELETED,0,0,deleted
003 AK1.19,ape,003,(APE 3) Dropped Control Rod,AK1.19,(003AK1.19) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 3) DROPPED Control Rod (CFR: 41.8 / 41.10 / 45.3): Rod worth,3.2,3.2,active
003 AK1.20,ape,003,(APE 3) Dropped Control Rod,AK1.20,DELETED,0,0,deleted
003 AK1.21,ape,003,(APE 3) Dropped Control Rod,AK1.21,DELETED,0,0,deleted
003 AK1.22,ape,003,(APE 3) Dropped Control Rod,AK1.22,DELETED,0,0,deleted
003 AK1.23,ape,003,(APE 3) Dropped Control Rod,AK1.23,(003AK1.23) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 3) DROPPED Control Rod (CFR: 41.8 / 41.10 / 45.3): Multiple rod drops,4.1,4.1,active
003 AK1.24,ape,003,(APE 3) Dropped Control Rod,AK1.24,(003AK1.24) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 3) DROPPED Control Rod (CFR: 41.8 / 41.10 / 45.3): Rod recovery rate,3.4,3.4,active
003 AK1.25,ape,003,(APE 3) Dropped Control Rod,AK1.25,(003AK1.25) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 3) DROPPED Control Rod (CFR: 41.8 / 41.10 / 45.3): Dropped rod effect on reactor poisons and/or fuel,3.4,3.4,active
003 AK1.26,ape,003,(APE 3) Dropped Control Rod,AK1.26,(003AK1.26) Knowledge of the operational implications and/or cause and effect relationships of the following concepts as they apply to (APE 3) DROPPED Control Rod (CFR: 41.8 / 41.10 / 45.3): Dropped control rod during reactor startup,3.6,3.6,active
003 AK2.01,ape,003,(APE 3) Dropped Control Rod,AK2.01,DELETED,0,0,deleted
003 AK2.02,ape,003,(APE 3) Dropped Control Rod,AK2.02,DELETED,0,0,deleted
003 AK2.03,ape,003,(APE 3) Dropped Control Rod,AK2.03,(003AK2.03) Knowledge of the relationship between (APE 3) DROPPED Control Rod and the following systems or components (CFR: 41.7 / 45.7): Metroscope,2.9,2.9,active
003 AK2.04,ape,003,(APE 3) Dropped Control Rod,AK2.04,DELETED,0,0,deleted
003 AK2.05,ape,003,(APE 3) Dropped Control Rod,AK2.05,DELETED,0,0,deleted
003 AK2.06,ape,003,(APE 3) Dropped Control Rod,AK2.06,(003AK2.06) Knowledge of the relationship between (APE 3) DROPPED Control Rod and the following systems or components (CFR: 41.7 / 45.7): CRDS,3.6,3.6,active
003 AK2.07,ape,003,(APE 3) Dropped Control Rod,AK2.07,(003AK2.07) Knowledge of the relationship between (APE 3) DROPPED Control Rod and the following systems or components (CFR: 41.7 / 45.7): RPI,3.7,3.7,active
003 AK2.08,ape,003,(APE 3) Dropped Control Rod,AK2.08,(003AK2.08) Knowledge of the relationship between (APE 3) DROPPED Control Rod and the following systems or components (CFR: 41.7 / 45.7): NIS,3.9,3.9,active
003 AK2.09,ape,003,(APE 3) Dropped Control Rod,AK2.09,(003AK2.09) Knowledge of the relationship between (APE 3) DROPPED Control Rod and the following systems or components (CFR: 41.7 / 45.7): CVCS,3,3,active
003 AK2.10,ape,003,(APE 3) Dropped Control Rod,AK2.10,(003AK2.10) Knowledge of the relationship between (APE 3) DROPPED Control Rod and the following systems or components (CFR: 41.7 / 45.7): MT/G,3.1,3.1,active
003 AK3.01,ape,003,(APE 3) Dropped Control Rod,AK3.01,(003AK3.01) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 3) DROPPED Control Rod (CFR: 41.5 / 41.10 / 45.6 / 45.13): Manual power reduction on ICS failure (BW),3.8,3.8,active
003 AK3.02,ape,003,(APE 3) Dropped Control Rod,AK3.02,(003AK3.02) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 3) DROPPED Control Rod (CFR: 41.5 / 41.10 / 45.6 / 45.13): Automatic runback with a dropped rod (BW),4,4,active
003 AK3.03,ape,003,(APE 3) Dropped Control Rod,AK3.03,DELETED,0,0,deleted
003 AK3.04,ape,003,(APE 3) Dropped Control Rod,AK3.04,(003AK3.04) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 3) DROPPED Control Rod (CFR: 41.5 / 41.10 / 45.6 / 45.13): Contained in procedures,3.7,3.7,active
003 AK3.05,ape,003,(APE 3) Dropped Control Rod,AK3.05,(003AK3.05) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 3) DROPPED Control Rod (CFR: 41.5 / 41.10 / 45.6 / 45.13): Limits for reduction of load,3.5,3.5,active
003 AK3.06,ape,003,(APE 3) Dropped Control Rod,AK3.06,(003AK3.06) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 3) DROPPED Control Rod (CFR: 41.5 / 41.10 / 45.6 / 45.13): Reset of demand position counter to zero,3.4,3.4,active
003 AK3.07,ape,003,(APE 3) Dropped Control Rod,AK3.07,DELETED,0,0,deleted
003 AK3.08,ape,003,(APE 3) Dropped Control Rod,AK3.08,DELETED,0,0,deleted
003 AK3.09,ape,003,(APE 3) Dropped Control Rod,AK3.09,DELETED,0,0,deleted
003 AK3.10,ape,003,(APE 3) Dropped Control Rod,AK3.10,(003AK3.10) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 3) DROPPED Control Rod (CFR: 41.5 / 41.10 / 45.6 / 45.13): Insertion limits,3.6,3.6,active
003 AK3.11,ape,003,(APE 3) Dropped Control Rod,AK3.11,(003AK3.11) Knowledge of the reasons for the following responses and/or actions as they apply to (APE 3) DROPPED Control Rod (CFR: 41.5 / 41.10 / 45.6 / 45.13): Tripping the reactor,4.1,4.1,active
005 AA1.01,ape,005,(APE 5) Inoperable/Stuck Control Rod,AA1.01,(005AA1.01) Ability to operate and/or monitor the following as they apply to (APE 5) INOPERABLE/STUCK Control Rod (CFR: 41.7 / 45.5 / 45.6): CRDS,3.7,3.7,active
005 AA1.02,ape,005,(APE 5) Inoperable/Stuck Control Rod,AA1.02,DELETED,0,0,deleted
005 AA1.03,ape,005,(APE 5) Inoperable/Stuck Control Rod,AA1.03,(005AA1.03) Ability to operate and/or monitor the following as they apply to (APE 5) INOPERABLE/STUCK Control Rod (CFR: 41.7 / 45.5 / 45.6): Metroscope,2.9,2.9,active
005 AA1.04,ape,005,(APE 5) Inoperable/Stuck Control Rod,AA1.04,(005AA1.04) Ability to operate and/or monitor the following as they apply to (APE 5) INOPERABLE/STUCK Control Rod (CFR: 41.7 / 45.5 / 45.6): NIS,3.9,3.9,active
005 AA1.05,ape,005,(APE 5) Inoperable/Stuck Control Rod,AA1.05,(005AA1.05) Ability to operate and/or monitor the following as they apply to (APE 5) INOPERABLE/STUCK Control Rod (CFR: 41.7 / 45.5 / 45.6): RPI,3.8,3.8,active
005 AA1.06,ape,005,(APE 5) Inoperable/Stuck Control Rod,AA1.06,(005AA1.06) Ability to operate and/or monitor the following as they apply to (APE 5) INOPERABLE/STUCK Control Rod (CFR: 41.7 / 45.5 / 45.6): CVCS,3,3,active
005 AA1.07,ape,005,(APE 5) Inoperable/Stuck Control Rod,AA1.07,(005AA1.07) Ability to operate and/or monitor the following as they apply to (APE 5) INOPERABLE/STUCK Control Rod (CFR: 41.7 / 45.5 / 45.6): MT/G,2.9,2.9,active
